löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0001,G,Alvesta,Aringsås,Alvesta Folkets husförening,1922,Alvesta Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Stg 1187,Allbogatan 17,Gunnar Gräslund,,1953-1954,inne i tätortsbebyggelse,Renoverat och tillbyggt 1993.,"scen, biograf, kök, restaurang, bibliotek, danslokal","mötesverksamhet, teater, bio, dans, restaurang, konstutställningar, studiecirklar, konferensverksamhet",,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",ARAB: Gunnar Gräslunds arkiv vol. 1-2 Kronobergsarkivet: 1vol. 1945-1983,"LS, FHP-enkät",
0002,G,Lessebo,Hovmantorp,Hovmantorps Folkets husförening upa,1935,Hovmantorps Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun, företag",Statsäga 96,Parkgatan 1,"Grönlund, Stockholm",Ragnar Ottosson bygg Hovmantorp,1960,inne i tätortsbebyggelse,"Om- och tillbyggnad, nytt stort kök och studierum, renovering av bio-konferenssal-teatersal 1984. Tillbyggnad av fritidshem 1987-1988.","scen, biograf, kök, restaurang, studielokal, föreningsexpedition, dans- och auktionslokal, pingislokal, fritidshem","mötesverksamhet, föreningsexpedition, teater, bio, dans, restaurang, konstutställningar, studiecirklar, auktioner, revyer, pub, motionsverksamhet",,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","I lokalen och på Föreningsarkivet Kronoberg 1935-1985 protokoll, verksamhetsberättelser, ritningar, fotografier, affischer ARAB: [samling] organisationsklipp vol. 6","LS, FHP-enkät, Kronobergaren 24 sept och 17 okt 1960","Föreningen har haft två tidigare lokaler. Den ena låg på samma plats, den andra i samhällets utkant. Föreningen köpte lokalerna av IOGT och NOV. Båda rivna."
0003,G,Lessebo,Ekeberga,Byggnadsföreningen Folkets Hus i Kosta,1909,Kosta Folkets Hus och Park,ekonomisk förening upa,fackförening,Kosta 21:1,Stora vägen 47,,,"FP 1920, FH 1937",inne i tätortsbebyggelse,Renoverat 1975 och 1994,"scen, biograf, kök, studielokal, bibliotek, föreningsexpedition, danslokal","mötesverksamhet, teater, bio, dans, konstutställningar, studiecirklar",,"Årsberättelse 1948 Byggnadsföreningen Folkets Hus, Kosta Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Kronobergsarkivet Växjö 37 vol. 1908-1983,"LS, FHP-enkät, SF, FA","Föreningen har haft ett tidigare FH på samma plats, byggt 1925, som brann ner 1936."
0004,G,Lessebo,Lessebo,Föreningen Folkets Hus Lessebo,1907,Lessebo Folkets Hus,,,,,,,1936,,Renoverat och ombyggt 1961.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Folkets Hus Lessebo och Kronobergsarkivet,"LS, SF, NM, NAD, FA",
0005,G,Lessebo,Ljuder,Skruvs Folkets husförening,1913,Skruvs Folkets Hus,,,,,,,1956,,Renoverat 1983.,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0006,G,Lessebo,Ekeberga,,,Transjö Folkets Hus,,,"Transjö 1:5, samt samfälld mark till Transjö 1:2, 1:3, 1:4, 1:5",,,,1907,,Tillbyggt 1932,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","Privat: Jan-Erik Ritzman, Transjö, Kosta","LS, FA",Byggnaden förklarades för byggnadsminne 1981 Jfr Transjö Folkets Hus 1924
0007,G,Ljungby,Ljungby,,1922,Ljungby Folkets Hus,,,,,,,1963,,Renoverat och ombyggt 1991,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",Ljungby kommuns centralarkiv 52 vol. 1922-1973 och Kronobergsarkivet,"LS, FHP, NAD, FA",Arkiv tillsammans med Folkets Park
0008,G,Markaryd,Markaryd,Strömsnäs bruks arbetares byggnadsförening,1908,Strömsnäsbruks Folkets Hus,,,,,,,1962,,,,,,"Glesbygd blev samhälle : med järnväg samt bruk, folkpark och Folkets Hus : Strömsnäsbruks byggnadsförening upa 1907-1997 / Bertil Gustafsson Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0009,G,Markaryd,Markaryd,,,Timsfors Folkets Hus,,,,,,,1974,,,,,,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999",,LS,
0010,G,Tingsryd,Almundsryd,Fridafors Folkets husförening,1922,Fridafors Folkets Hus,ideell förening,,Bjällernäs 1-102,Farabelsvägen,,,1934,i anslutning till tätortsbebyggelse,Renoverat och ombyggt 1966.,"scen, kök, studielokal, danslokal","mötesverksamhet, dans, studiecirklar",,"Hus för nöje och bildning, Folkets hus Folkets park Ordenshus 1999","i lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar","LS, FHP-enkät, SF",
