författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
,Folkets Hus / organ för Folkets Husföreningarnas Riksorganisation,Stockholm FHR,1969-,,,,Folkets husföreningarnas riksorganisation,,,Tidskrift. Fortsätter: Våra folkets hus,Ohma-c,C07/15
,Våra Folkets Hus / organ för Folkets Husföreningarnas Riksorganisation,Stockholm : Riksorg.,1960-1969,,,,Folkets husföreningarnas riksorganisation,,,Tidskrift. Fortsättes av Folkets hus,Ohma-c,C07/13
"Palme, Olof","“Folkets Hus och folkrörelserna tillhör framtiden” : Olof Palme och våra Folkets hus : utdrag ur tal av Olof Palme om våra Folkets Hus och folkrörelsehusen samt människornas idéer och drömmar om att förändra samhället / korta kommentarer, sammanställning och redigering av Erik Södersten.",Stockholm : Folkets Husföreningarnas Riksorganisation,1988,63 s. : ill.,,"Södersten, Erik Folkets Husföreningarnas Riksorganisation",,,91-7970-251-1,,Ohma-c,"Br67/3909, Br 67/3910"
"Bergkvist, Sven O.",Vägar till Folkets Hus,Stockholm : Folkets Husföreningarnas Riksorganisation,1982,224 s. : ill.,,,Folkets husföreningarnas riksorganisation,,91-7260-694-0,,Ohma-c,67/10551
"Elmgren, Arne","Vi har byggt oss eget hus. Händelser och hågkomster, utgivna med anledning av Folkets Husföreningarnas Riksorganisations 25-årsjubileum år 1957.",Norrköping,1957,127 s. : ill.,"Karlsson, Gustav & Kilbom, Karl",,,,,,Ohma-c,28933 27552
"Lindahl, Ivar",Kring ett Folkets Hus. Sång- och talspel,Stockholm,1948,,,,,,,,Ohma-c,Br 21528
"Yve, Herbert",Folkrörelsernas bostäder. Några jämförelser mellan svensk och finsk Folkets husrörelse.,Stockholm,1942,4 s. : ill.,,,,,,Särtryck ur SAP Information,Ohma-c,Br 17 661
"Almqvist, Torbjörn",Vad folket byggde : ett utkast till folkrörelsernas byggnadshistoria,Stockholm : Sveriges Arkitekturmuseum : Nordiska Museet,1976,109 s. : ill.,"Johansson, Hjördis & Simonsson, Lena",,Sveriges Arkitekturmuseum Nordiska museet,,91-7108-099-6,,Ohm-c Ohma-c,67/5874 67/9580
,Festskrift utgiven med anledning av Folkets Hus & Park i Avesta 25-åriga tillvaro 27/9 1902-1927.,Avesta,1927,23 s. : ill.,,,,,,,Ohma-cz Avesta Ohmb-cz Avesta,Br/27306
"Backlund, Harry",Föreningen Folkets Hus och Park i Avesta u.p.a. 40 år  27 september 1902-1942.,Falun,1942,45 s. : ill.,,,Föreningen Folkets Hus och Park i Avesta u.p.a.,,,,Ohma-cz Avesta Ohmb-cz Avesta,Br 25186 Br 67/5588
,Folkets Hus och Park i Billesholm : några anteckningar om dess tillkomst och utveckling med anledning av att tjugofem år förflutit sedan Billeholms fastighetsförening bildades.,Billesholm,1923,12 s. : ill.,,,,,,,Ohma-cz Billesholm Ohmb-cz Billesholm,Br 27487
,Bolidens Folkets Hus förening 1926-1936 samt styrelsens och revisorernas berättelse 1936.,Boliden,1936,12 s.,,,,,,,Ohma-cz Boliden,Br 25197
,Minnesskrift samt styrelsens och revisorernas berättelse år 1942 / Bolidens Folkets husförening.,Boliden,1942,12 s. : ill.,,,,,,,Ohma-cz Boliden,Br 27486
,Minnesskrift. 10/3 1901-1941. [Folkets Hus i Domnarvet-Borlänge],Falun,1941,37 s. : ill.,,,Föreningen Folkets Hus i Domnarvet-Borlänge,,,,Ohma-cz Borlänge-Domnarvet,Br 25203
"Johansson, Arndt",Folketshusrörelsen i Borlänge. Minnesskrift utarbetad till föreningen Folkets Hus i Borlänge 50-årsjubileum.,Falun,1951,126 s. : ill.,,,,,,,Ohma-cz Borlänge,28927 27554
"Jönsson, Lorentz",Folkets Hus i Borås dess tillkomst och historia 1897-1939.,Borås,1939,23 s.,,,,,,,Ohma-cz Borås,Br 25207
"Persson, Henrik",Minnesskrift : Folkets Hus i Borås 50 år 1899-1949 / red. av Henrik Persson.,Borås,1949,47 s. : ill.,,,,,,,Ohma-cz Borås,Br 27489
"Karlsson, Maine",Brunnsviks byggnadsförening : Sörviks Folkets Hus från begynnelse till nutid med inriktning på aktiviteterna / Maine Karlsson.,"Uppsala : Uppsala univ., Kulturgeografiska institutionen",1982,50 s.,,,,,,"Uppsats i kulturgeografi med inriktning på planering, A 3",Ohma-cz Brunnsvik,Br 67/3503
"Lindgren, Siv",Degerfors Folkets Hus 50 år.,Örebro,1956,27 s.,,,,,,,Ohma-cz Degerfors,Br/25148
"Lundqvist, Gustaf","Minnesskrift : föreningen Folkets Hus u.p.a., Deje 1910-1930",Deje,1930,30 s. : ill.,,,,,,,Ohma-cz Deje,Br/27299
"Edenmark, Eric",Minnesskrift. Folkets Hus i Eskilstuna.,Eskilstuna,1936,44 s. : ill.,,,,,,,Ohma-cz Eskilstuna,Br/25154
,Föreningen Folkets Hus och Park i Fagersta : 20 år 8/6 1906-1926.,Fagersta,1926,19 s. : ill.,,,,,,,Ohma-cz Fagersta Ohmb-cz Fagersta,Br/27269
"Carlson, Arvid",Festskrift vid föreningen Folkets Hus i Finspång u.p.a. 40-årsjubileum / upptecknad av Arvid Carlson.,Finspång,1946,29 s. : ill.,,,,,,,Ohma-cz Finspång,Br/27300
,Flens Folkets Hus : jubileumsskrift 1906-1931.,Flen,1931,16 s. : ill.,,,,,,,Ohma-cz Flen,Br Q/064
,Minnesskrift omfattande verksamheten 1907-1938 : Frövi Folkets husförening och Folkets Park.,Örebro,1938,25 s. : ill.,,,,,,,Ohma-cz Frövi Ohmb-cz Frövi,Br/27285
"Liedgren, Rut",Folkets Hus Gersheden / Rut Liedgren.,Stockholm : Skansen,1964,114 s. : ill.,,,,Skrifter från Skansen; 1,,,Ohma-cz Gersheden,7932 27561
,Folkets Hus Göteborg.,Göteborg,1951,35 s. : ill.,,,,,,,Ohma-cz Göteborg,Br/27303
"Nilsson, Nils",Tillägnat minnet av 25 års arbete i samhällets tjänst 1918-1943 : Hagfors Folkets husförening 25 år.,Hagfors,1943,32 s. : ill.,,,,,,,Ohma-cz Hagfors,"Br/27241, Br 67/5598"
,Bakom kulisserna - en folkrörelse? : koncentrat av protokoll från Hedemora Folkets Hus och Folkets Park 1908-1980.,Hedemora : ABF,1981,223 s.,,,Hedemora : ABF,,,Gräv där du står,Ohma-cz Hedemora Ohmb-cz Hedemora,Q 191
,Minnesskrift 1904-1924 : Folkets husföreningen i Hudiksvall tjugo år.,Hudiksvall,1924,12 s. : ill.,,,,,,,Ohma-cz Hudiksvall,Br/27272
"Jonsson, Stig",Jubileumsskrift : Föreningen Folkets Hus Huskvarna 50 år / av Stig Jonsson.,Huskvarna,1953,59 s. : ill.,,,,,,,Ohma-cz Huskvarna,Br/27296
"Ericsson, Eric","Minnesskrift : Hällefors Folkets husförening u.p.a. verksamhet 1912-1950 och Folkets Hus, Hällefors 1925-1950",Hällefors,1950,45 s. : ill.,,,,,,,Ohma-cz Hällefors,Br/27302
,"Jubileumsbladet utgivet med anledning av Folkets Hus 25-åriga och Fackliga centralorganisationens 5-åriga tillvaro 1906-1931, 1926-1931.",Hälsingborg,1931,36 s. : ill.,,,,,,,Ohma-cz Hälsingborg,Br Q/063
"Selge, Allan",Folkets Hus i Hälsingborg under 40 år. En historia om arbetarrörelsens kamp för eget hem.,Hälsingborg,1946,92 s.,,,,,,,Ohma-cz Hälsingborg,31067
,"Förr och nu : Folkets Hus Hälsingborg, 1906-1956.",Hälsingborg,1956,39 s. : ill.,,,,,,,Ohma-cz Hälsingborg,BrQ/128
"Martland, Ewert",Minnesskrift : föreningen Folkets Hus och Park Katrineholm 1903-1953.,Katrineholm,1953,59 s. : ill.,,,,,,,Ohma-cz Katrineholm Ohmb-cz Katrineholm,Br/27271
,Folkets Hus Klippan 1907-1957.,Klippan,1957,27 s. : ill.,,,,,,,Ohma-cz Klippan,Br/27485
"Elowsson, Nils",Folkets Hus i Kristianstad 75 år. Jubileumsskrift år 1964 om landets första Folkets Hus.,Kristianstad : Folkets Hus,1964,47 s. : ill.,,Folkets Hus (Kristianstad),,,,,Ohma-cz Kristianstad,67/1612
,Krylbo Folkets husförenings paviljong 15 år.,Krylbo,1936,12 s.,,,,,,,Ohma-cz Krylbo,Br/27497
,Föreningen Folkets Hus Kvarnsveden 1906-1956 : denna skrift är utgiven i anledning av föreningens 50-åriga tillvaro.,Kvarnsveden,1956,16 s. : ill.,,,,,,Omslagstitel: Minnesskrift över en femtioårig gärning i Folketshusrörelsens tjänst.,Ohma-cz Kvarnsveden,Br/27498
"Sundin, Albert",Historik över Folkets Hus och Folkets Park i Lindesberg 1908-1948,Lindesberg,1948,43 s. : ill.,,,,,,,Ohma-cz Lindesberg Ohmb-cz Lindesberg,Br/27270
"Skoglund, Nils G.",Minnesskrift. Blad ur Linköpings Folkets Hus föreningsverksamhet åren 1900-1926 och 1927-1953. Sammanställda till invigningen av Linköpings Folkets Hus den 12 september 1953.,Linköping,1953,48 s.,,,,,,,Ohma-cz Linköping,Br/25314
"Gyllin, Yngve",Lomma Folkets Hus 50 år 1898-1948 : historik / av Yngve Gyllin.,Lomma,1948,56 s. : ill.,,,,,,,Ohma-cz Lomma,38721
"Ericsson, Sven E. [red]",Festskrift utgiven till invigningen av Ludvika Folkets Hus den 19 oktober 1958 / red. av Sven E. Ericsson.,Falun,1958,35 s. : ill.,,"Ericsson, Sven E. Folkets hus Ludvika",,,,,Ohma-cz Ludvika,Br/27290
"Helin, K. Anton",Om sextio äro villiga. Malmbergets Folkets Hus 1896-1946.,Boden,1946,98 s. : ill.,,,,,,,Ohma-cz Malmberget,31106
"Helin, K. Anton",Om sextio äro villiga : Malmbergets Folkets Hus 1896-1948 / av K. Anton Helin.,Boden,1978,98 s. : ill.,,,,,,Faks. av 1 utg.,Ohma-cz Malmberget,67/8299 67/9581
,Sveriges första Folkets Hus : minnesskrift till firandet av Folkets Hus i Malmö invigning den 1 april 1893 / utg. till 25:e årsdagen av styrelsen för byggnadsaktiebolaget Folkets Hus i Malmö.,Malmö,1918,15 s. : ill.,,Folkets hus (Malmö),,,,,Ohma-cz Malmö,"Br/2806, Br/27237, Br 67/5495"
"Andersson, Kjell","Folkets Hus vid Motala Verkstad. Examensarbete vid sektionen för Arkitektur, Tekniska Högskolan i Stockholm.",Stockholm,1973,34 s.,,"Langseth, Christer, Michelson, Bernard, Persson, Per",,,,"Examensarbete vid sektionen för Arkitektur, Tekniska Högskolan i Stockholm.",Ohma-cz Motala,Br67/874
"Ehnberg, Stig",Njurunda Folkets husförening 1911-1972 : historik / sammanställd av Stig Ehnberg.,Sundsvall,1974,47 s. : ill.,,Njurunda Folkets husförening,,,,,Ohma-cz Njurunda,Br67/1077
"Sjögren, Per",Vägen till Folkets Hus i norra Botkyrka / av Per Sjögren.,Botkyrka,1984,47 s. : ill.,,,Norra Botkyrka folketshusförening : Folkets husföreningarnas riksorganisation,,,duplic.,Ohma-cz Norra Botkyrka,Br67/3275
"Lindgren, Sigurd",Norrahammars Folkets husförening 22/11 1908-1958. Red.: Sigurd Lindgren.,Jönköping,1958,61 s. : ill.,,Folkets Hus (Norrahammar),,,,,Ohma-cz Norrahammar,Br/25288
"Janzon, Gösta",Byggnadsföreningen Folkets Hus i Norrköping UPA. Historik över de gångna 50 årens verksamhet.,Norrköping,1947,39 s. : ill.,,,,,,,Ohma-cz Norrköping,Br/25340
"Hertz, Nils A.",Byggnadsföreningen Folkets Hus i Norrköping u.p.a. 75 år. Minnesskrift.,Norrköping,1972,35 s.,,Byggnadsföreningen Folkets Hus (Norrköping),,,,,Ohma-cz Norrköping,Br67/849
,Föreningen Folkets Hus Nyköping 1899-1929.,Nyköping,1929,23 s. : ill.,,,,,,,Ohma-cz Nyköping,Br/27274 Br/27275
,"Byggnadsföreningen Folkets Hus. Nyköping, 1899-1949.",Eskilstuna,1949,25 s.,,,,,,,Ohma-cz Nyköping,Br/25348
,Jubileumsskrift 1906-1931. Föreningen Folkets Hus och Folkets Park i Ronneby.,Karlskrona,1931,31 s.,,,,,,,Ohma-cz Ronneby Ohmb-cz Ronneby,Br/26855
,Folkets Park 50 år 1906-1956. Jubileumsskrift Ronneby Folkets Hus & Park.,Karlskrona,1956,29 s.,,,,,,,Ohma-cz Ronneby Ohmb-cz Ronneby,Br/26857
,Föreningen Folkets Hus Rättvik u.p.a. 30 år : Folkparken 15 år.,Rättvik,1948,15 s. : ill.,,,,,,,Ohma-cz Rättvik Ohmb-cz Rättvik,Br/27305
"Andersson, Carl-Ola",Minnesskrift vid Skellefteå Folkets Hus invigning den 16 mars 1940.,Umeå,1940,19 s. : ill.,,,,,,,Ohma-cz Skellefteå,"Br/26849, Br 67/5337"
,Historik : Skelleftå Folkets Hus 1926-1976 : Skellefteå Folkets Park 1936-1976.,Skellefteå,1976,7 s. : ill.,Skellefteå Folkets hus,,,,,,Ohma-cz Skellefteå Ohmb-cz Skellefteå,Br67/1191
,"Sköldingeliv : Folkets Hus : Malmgården, ett café : Sköldingebor berättar om sitt 1900-tal / projektgruppen Åsa folkhögskola ; Christer Andersson.","Flen : Skolan, cop.",1984,59 s. : ill.,,"Andersson, Christer Åsa Folkhögskola",,,,,Ohma-cz Sköldinge,Br67/3405
