objekt,omfång,tid,institution,typavhandlingar,anmärkning
"Folkets husföreningarnas riksorganisation, FHR",c:a 460 volymer förtecknade handlingar samt diverse oförtecknade,,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, verksamhetsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar m m",Tillstånd. Arkiv nr 2926 under arbete. C:a 400 vol förtecknade handlingar (acc 1975/55) RA 18/01-20/22 c;a 40   vol räkenskapshandlingar (acc 1975/55) RB 34/13-16 1 vol från Gamla samlingen plac Ua 26/41 19 vol acc 1969/1 Ua 22/16-17 4 (7?) lådor RB 02/09-12 52 ? lådor  (1986/40) RB 11/04-16 31 lådor  (acc 1988/?) RD 78/01-10
"Folkets husföreningen, Ursvik",1 vol.,1970-tal - 1980-tal,"Arbetarrörelsens arkiv och bibliotek, Stockholm",kallelser,ARAB arkiv nr 2936 plac: 22/20
Föreningen Folkets husfonden för Stockholm med omnejd u p a,10 vol. samt 9 lådor,1926-1971?,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, räkenskaper m m","ARAB arkiv nr 2927 plac: 22/17, 26/39, RD 27/06, RB 11/07-08 samt Gr 3"
"Folkets husföreningen, Upplands Väsby",A. 1 vol.  B. okänt,A. 1907-1961  B. okänt,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. I lokalen","A. protokoll, årsberättelser, stadgar, andelsbevis, fotografier, vykort, affischer B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",ARAB arkiv nr 2935 plac: 22/17 FHP-enkät
Nya Föreningen Folkets Hus i Spånga u p a,85 vol.,1904-1970,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, stadgar, förteckningar och register, inkomna skrivelser, ämnesordnade handlingar, räkenskaper, statistik, ritningar, fotografier, tryck",ARAB arkiv nr 1838 plac: 26/32-39
Föreningen Sollentuna Folkets Hus u p a,77 vol,1912-1994,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, utgående handlingar, förteckningar, korrespondens, ämnesordnade handlingar, ritningar, räkenskaper","ARAB arkiv nr 4300 plac: RA 12/12 (4 vol ), RB 16/11-12  RD 17/01-06 (13)"
Munsö Folkets husförening u p a,3 vol.,1923-1967,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, ämnesordnade handlingar, räkenskaper",ARAB arkiv nr 2929 plac 22/18
Råstahems Folkets husförening u p a,19 vol.,1946-1979,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, stadgar, utgående och inkomna handlingar, ämnesordnade handlingar, räkenskaper, ritningar, tryck","ARAB arkiv nr 897 plac: 22/19-20, UE 07/02 (vol. 12) + RA 12/12"
Stenhamra  Folkets husförening,1 volym,1911-1936,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, andelsbevis",ARAB arkiv nr 2932 plac: 22/20
Älta Folkets husförening,A. 2 vol.+ B 1 vol.,A. 1925-1977 B. 1929-1955,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Nacka lokalhistoriska arkiv","A. protokoll, berättelser, stadgar, cirkulär, matriklar, register, ämnesordnade handlingar, räkenskaper B. verksamhetsberättelser, korrespondens, klipp",ARAB arkiv nr 754 plac: RA 17/01
Föreningen Folkets hus på Södermalm i Stockholm u.p.a.,8 vol.,(1884-1885) 1904-1940,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, räkenskaper, tryck, fotografier",ARAB arkiv nr 1055 plac: 22/18
Folkets Hus och Park - övriga landet  [samling],3 vol. + 7 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB arkivnr 4542 plac: RC 49/05 och Ua 26/40
"Folkets Hus, Stockholm",3 vol,1897-,"Arbetarrörelsens arkiv och bibliotek, Stockholm","småtryck, affischer, fotografier m m",ARAB arkiv nr 4524 Handlingar från ARAB´s gamla samling plac 26/41
Föreningen Folkets Hus i Hagalund (Hagalunds Folkets husförening upa),A. 1 vol. B. 2 hm,A. 1909-1933 B. 1902-1966,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Solna stads centralarkiv","A. styrelse- och revisionsberättelser, andelsbevis B. protokoll, register, ämnesordnade handlingar",ARAB arkiv nr 3022 plac: 22/20 NAD ARAB [Samling] Folkets husföreningar vol. 1
Klintens Folkets husförening u p a,A.1 vol B.1 vol,A. 1939-1947 B. 1974,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Nacka kommuns centralarkiv","A. protokoll, inventarieförteckningar B. Övriga handlingar",ARAB arkiv nr 4211 plac: RD 17/09 NAD
"Folkparkernas centralorganisation, FPC",393 vol. + ljudband + affischer + 36 vol + 12 lådor+50 lådor+ 22 vol. + 8 lådor+41 vol +35 vol+ 18 vol.,1905-1983,"Arbetarrörelsens arkiv och bibliotek, Stockholm","Protokoll, utgående handlingar, liggare och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, ljudband, film, tryck","ARAB arkiv nr 2938 under arbete plac: 393 vol. RD 12/01-25, 13/01-16 1 vol från gamla samlingen 26/41 K1  ljudband och spelfilm: UD affischer: RC, 12 lådor affischer acc 1994/062: R?, 50 lådor ritningar och affischer(acc 1995:083): SÖ mot väggen t v om dörren 36 vol (A1A, B7ba1, G2, G4): RB 31/17 22 vol (B2,D7): RC 24/35-36, 8 lådor acc 1996/057 R utan placering 41 vol (B2 38-78)  RC 20/3-06"
Byggnadsföreningen samlingshuset i Skederid u p a,2 vol.,1923-1961,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, räkenskaper",ARAB arkiv nr 2930 plac: 22/18
